Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor Bruto;Tipo Agregado
Apartamento;Barra da Tijuca;2;1;1;80;2250.0;1091.0;205.0;3546.0;Apartamento
Apartamento;Flamengo;2;1;0;75;2500.0;1067.0;125.0;3692.0;Apartamento
Apartamento;Leblon;2;1;1;105;2700.0;1900.0;400.0;5000.0;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;2000.0;970.0;170.0;3140.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;100;2300.0;1678.0;2500.0;6478.0;Apartamento
Apartamento;Copacabana;3;0;0;110;3000.0;1300.0;200.0;4500.0;Apartamento
Apartamento;Ipanema;3;1;1;80;3900.0;1368.0;113.0;5381.0;Apartamento
Apartamento;Copacabana;1;0;0;35;1800.0;520.0;25.0;2345.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;63;2500.0;1280.0;204.0;3984.0;Apartamento
Apartamento;Ipanema;1;0;0;46;1700.0;700.0;132.0;2532.0;Apartamento
Apartamento;Flamengo;1;0;0;47;1600.0;650.0;0.0;2250.0;Apartamento
Apartamento;Barra da Tijuca;3;2;3;130;5700.0;850.0;450.0;7000.0;Apartamento
Apartamento;Barra da Tijuca;3;3;3;180;6500.0;2000.0;500.0;9000.0;Apartamento
Apartamento;Botafogo;2;1;1;76;3200.0;760.0;125.0;4085.0;Apartamento
